-299.597	29587
-299.412	29793
-299.228	29553
-299.044	29500
-298.859	29342
-298.675	29584
-298.49	29509
-298.307	29502
-298.122	29564
-297.938	29389
-297.754	29260
-297.569	29336
-297.386	29121
-297.201	28965
-297.017	28781
-296.833	28795
-296.649	28633
-296.465	28892
-296.28	29037
-296.096	29018
-295.913	29138
-295.728	29208
-295.544	29402
-295.36	29180
-295.176	29324
-294.992	29125
-294.808	29318
-294.624	29359
-294.44	29475
-294.256	29354
-294.072	29225
-293.888	29268
-293.704	29015
-293.52	29132
-293.336	29019
-293.153	28845
-292.969	28763
-292.784	28769
-292.601	28595
-292.417	28542
-292.234	28892
-292.049	28585
-291.865	28725
-291.682	29125
-291.498	28936
-291.314	29016
-291.13	28971
-290.947	29071
-290.763	29065
-290.579	29169
-290.395	29188
-290.212	29194
-290.028	29169
-289.845	29302
-289.661	29027
-289.477	29209
-289.293	28898
-289.11	28852
-288.926	28674
-288.743	28940
-288.559	28722
-288.375	28620
-288.192	28642
-288.008	28496
-287.825	28488
-287.641	28537
-287.458	28410
-287.275	28590
-287.091	28549
-286.907	28697
-286.724	28933
-286.54	28958
-286.357	28872
-286.173	28968
-285.99	29004
-285.807	28927
-285.623	29020
-285.44	28932
-285.257	28834
-285.074	28850
-284.89	28712
-284.707	28693
-284.523	28796
-284.339	28807
-284.156	28602
-283.973	28563
-283.79	28696
-283.606	28592
-283.423	28498
-283.24	28829
-283.057	28697
-282.874	28567
-282.69	28586
-282.507	28648
-282.324	28492
-282.141	28804
-281.958	28980
-281.775	28756
-281.592	29066
-281.409	28732
-281.226	28760
-281.043	28626
-280.86	28678
-280.677	28734
-280.493	28600
-280.31	28696
-280.127	28671
-279.944	28626
-279.761	28670
-279.578	28561
-279.395	28751
-279.213	28702
-279.03	28566
-278.847	28787
-278.664	28499
-278.481	28781
-278.298	28639
-278.115	29010
-277.932	28736
-277.75	28660
-277.567	28744
-277.384	28820
-277.201	28597
-277.018	28713
-276.835	28354
-276.653	28476
-276.47	28405
-276.287	28484
-276.104	28607
-275.921	28596
-275.739	28525
-275.556	28383
-275.373	28198
-275.19	28230
-275.008	28357
-274.826	28719
-274.643	28468
-274.46	28615
-274.277	28774
-274.095	28728
-273.912	28703
-273.729	28713
-273.548	28569
-273.365	28442
-273.182	28504
-272.999	28405
-272.817	28143
-272.634	28177
-272.452	28142
-272.27	28135
-272.087	28202
-271.904	28238
-271.723	28274
-271.54	28174
-271.357	28197
-271.174	28209
-270.993	28258
-270.81	28421
-270.628	28497
-270.445	28449
-270.263	28690
-270.081	28664
-269.898	28687
-269.716	28522
-269.534	28366
-269.351	28420
-269.169	28457
-268.987	28616
-268.804	28363
-268.623	28288
-268.44	28300
-268.259	28306
-268.076	28202
-267.893	28189
-267.712	27971
